ma20_angle,ma60_angle,ma_dispersion,ma_converging,ma_diverging,ma_bull_strength,hh_ratio,hl_ratio,trend_up_strengthen,trend_slope,trend_angle,pct_30,pct_60,adx,vol_ma5_ratio,vol_ma20_ratio,vol_trend,price_vol_match,vol_surge,channel_width,break_20high,break_60high,pullback_support,score,rating,reasons,code,name,price,pct_change,vol,amount
7.95,2.78,-0.6,False,True,4,0.5,0.5,False,0,0,8.39,19.15,55.82,1.14,0.97,True,True,False,11.81,False,False,True,12,A+ 趋势强,"['MA20角度>5度(趋势向上)', 'MA60微向上', '均线发散(趋势加速)', 'ADX>50(极强趋势)', '回踩均线支撑', '30日温和上涨']",sh603129,春风动力,284.99,1.24,18934,4.0
-15.43,25.98,4.81,False,True,2,0.5,0.61,False,0,0,-23.2,18.45,37.8,0.94,0.81,True,False,False,26.15,False,False,False,3,D 趋势向下,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sz001359,平安电工,89.92,4.0,41856,3.0
-12.6,21.12,4.56,False,True,2,0.5,0.67,False,0,0,-18.61,14.91,32.44,0.89,0.6,True,False,False,18.01,False,False,False,3,D 趋势向下,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sz002718,友邦吊顶,90.34,3.84,9092,3.0
-4.29,16.55,8.29,False,False,3,0.67,0.83,True,0,0,2.88,7.43,55.02,1.39,1.04,True,True,False,20.45,False,False,False,10,A 趋势良好,"['MA60角度>5度', '高低点持续抬升', 'ADX>50(极强趋势)', '30日温和上涨']",sh603226,菲林格尔,53.5,6.66,39576,3.0
-14.5,24.77,9.46,True,False,2,0.67,0.61,True,0,0,-19.52,30.85,56.57,1.11,0.9,True,True,False,20.43,False,False,False,8,B+ 趋势偏多,"['MA60角度>5度', '高低点持续抬升', 'ADX>50(极强趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sz002138,顺络电子,52.21,6.77,409745,3.0
-12.12,-0.97,6.97,True,False,2,0.5,0.67,False,0,0,-16.54,-26.56,36.32,1.25,1.0,True,True,False,20.71,False,False,False,1,D 趋势向下,"['ADX>30(有趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sh603297,永新光学,106.08,3.21,17495,3.0
-17.53,52.74,3.24,False,True,0,0.56,0.61,False,0,0,-28.76,26.31,36.89,1.25,1.31,False,True,False,28.59,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sz002484,江海股份,69.79,4.77,643481,3.0
-12.57,30.18,1.56,False,True,0,0.44,0.44,False,0,0,-11.83,-0.86,36.37,0.68,0.56,True,False,False,27.05,False,False,False,3,D 趋势向下,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sz002384,东山精密,205.19,1.52,559818,3.0
-13.37,16.3,3.43,False,True,0,0.56,0.5,False,0,0,-25.82,-6.14,44.86,0.98,0.89,True,False,False,28.79,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)', '30日下跌>10%']",sh603950,长源东谷,62.1,4.99,79861,3.0
-11.04,14.3,2.68,True,False,0,0.44,0.28,False,0,0,-14.99,2.6,49.43,1.19,1.24,False,False,False,28.02,False,False,True,4,C 趋势偏弱,"['MA60角度>5度', 'ADX>40(强趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sh603757,大元泵业,61.2,4.92,160433,3.0
-8.98,10.27,7.74,False,True,3,0.61,0.61,True,0,0,-11.09,15.48,37.77,0.98,0.52,True,False,False,23.78,False,False,True,7,B 趋势中性,"['MA60角度>5度', '均线发散(趋势加速)', '高低点持续抬升', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%']",sh603991,领先股份,134.85,2.16,17929,3.0
-18.79,11.27,1.74,False,True,0,0.56,0.61,False,0,0,-28.68,-28.57,20.66,0.93,0.82,True,False,False,18.87,False,False,False,2,D 趋势向下,"['MA60角度>5度', '均线发散(趋势加速)', '30日下跌>10%']",sz000988,华工科技,109.79,2.57,518675,3.0
-20.47,19.99,5.28,False,True,2,0.39,0.67,False,0,0,-28.84,-14.63,36.7,1.46,1.5,False,True,False,23.92,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh600522,中天科技,35.55,8.05,3858654,3.0
-20.09,46.72,5.72,True,False,0,0.44,0.56,False,0,0,-35.22,6.47,36.7,0.99,1.03,False,True,False,36.36,False,False,True,4,C 趋势偏弱,"['MA60角度>5度', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sh603256,宏和科技,154.18,1.65,233956,2.0
-19.15,31.45,7.97,True,False,2,0.5,0.56,False,0,0,-37.39,25.64,40.13,1.08,1.03,True,True,False,27.37,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', 'ADX>40(强趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sh600176,中国巨石,44.39,5.94,2784870,2.0
-16.76,13.73,10.04,True,False,2,0.5,0.5,False,0,0,-26.72,-1.96,38.48,0.95,1.18,False,True,False,30.96,False,False,True,4,C 趋势偏弱,"['MA60角度>5度', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sz000962,东方钽业,55.37,4.55,356010,2.0
-12.12,2.18,8.56,False,False,2,0.67,0.78,True,0,0,-19.91,-14.28,47.84,1.03,0.93,True,True,False,22.9,False,False,False,5,C 趋势偏弱,"['MA60微向上', '高低点持续抬升', 'ADX>40(强趋势)', '30日下跌>10%']",sz002192,融捷股份,73.35,3.38,174978,2.0
-20.43,26.75,6.79,False,True,2,0.5,0.5,False,0,0,-27.55,-20.5,41.83,1.18,0.88,True,True,False,29.16,False,False,False,5,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)', '30日下跌>10%']",sh603931,格林达,39.35,6.18,86892,2.0
-19.68,26.86,5.91,False,True,2,0.61,0.5,False,0,0,-31.25,28.63,33.11,1.33,1.54,False,True,True,29.67,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh603663,三祥新材,42.08,5.57,356754,2.0
-22.12,49.38,9.97,False,True,2,0.44,0.44,False,0,0,-36.62,59.3,31.14,0.76,0.91,False,False,False,38.68,False,False,True,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%']",sz002636,金安国纪,67.79,3.37,531067,2.0
-20.38,23.29,11.78,False,False,2,0.61,0.67,True,0,0,-28.42,-18.66,47.41,0.88,0.97,False,False,False,27.43,False,False,False,5,C 趋势偏弱,"['MA60角度>5度', '高低点持续抬升', 'ADX>40(强趋势)', '30日下跌>10%']",sh603738,泰晶科技,38.3,6.01,402046,2.0
-14.4,16.19,8.67,False,True,2,0.56,0.67,False,0,0,-14.93,-8.29,40.44,0.9,1.24,False,False,False,29.92,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)', '30日下跌>10%']",sz002364,中恒电气,45.0,4.65,507384,2.0
-16.61,56.57,31.69,False,True,3,0.5,0.5,False,0,0,-7.23,67.54,41.85,1.02,1.83,False,False,True,63.11,False,False,False,6,B 趋势中性,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)']",sz002552,宝鼎科技,60.65,3.39,423843,2.0
-20.01,22.78,7.03,False,True,2,0.44,0.61,False,0,0,-29.1,-5.62,33.63,1.11,1.11,True,False,False,30.89,False,False,False,3,D 趋势向下,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh603283,赛腾股份,48.25,4.28,271583,2.0
-7.84,0.08,10.51,False,True,3,0.61,0.67,True,0,0,0.55,0.75,47.33,1.36,1.13,True,True,False,25.72,False,False,False,10,A 趋势良好,"['MA60微向上', '均线发散(趋势加速)', '高低点持续抬升', 'ADX>40(强趋势)', '30日温和上涨']",sh600673,东阳光,36.45,5.71,565310,2.0
-18.66,28.26,18.67,False,True,2,0.61,0.67,True,0,0,-16.47,-1.08,41.74,0.97,1.03,False,True,False,41.79,False,False,False,8,B+ 趋势偏多,"['MA60角度>5度', '均线发散(趋势加速)', '高低点持续抬升', 'ADX>40(强趋势)', '30日下跌>10%']",sz002655,共达电声,33.99,6.15,306520,2.0
-22.55,1.46,6.06,False,True,2,0.5,0.61,False,0,0,-33.83,-24.18,31.8,1.23,1.28,False,True,False,23.97,False,False,False,3,D 趋势向下,"['MA60微向上', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh600498,烽火通信,40.9,4.68,1064780,2.0
-3.4,16.72,19.83,True,False,4,0.61,0.83,True,0,0,16.0,19.81,67.96,0.97,0.94,True,True,False,28.9,False,False,False,13,A+ 趋势强,"['MA60角度>5度', '高低点持续抬升', 'ADX>50(极强趋势)', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sh603156,养元饮品,51.7,3.61,121156,2.0
-8.55,3.01,4.49,False,False,2,0.78,0.67,True,0,0,-7.98,-0.14,42.24,2.14,1.96,True,True,True,12.4,False,False,False,8,B+ 趋势偏多,"['MA60微向上', '高低点持续抬升', 'ADX>40(强趋势)']",sz002876,三利谱,29.07,6.44,79473,2.0
-1.87,-7.76,4.17,True,False,4,0.67,0.72,True,0,0,-0.75,-13.06,45.59,1.5,1.33,True,True,False,10.55,False,False,False,8,B+ 趋势偏多,"['高低点持续抬升', 'ADX>40(强趋势)', '均线收敛(关注变盘)']",sh603091,众鑫股份,50.47,3.61,10302,2.0
-10.98,1.12,2.42,True,False,2,0.56,0.67,False,0,0,-16.96,-12.49,37.48,1.29,1.03,True,True,False,6.56,False,False,True,3,D 趋势向下,"['MA60微向上', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sz002049,紫光国微,67.89,2.65,272838,2.0
-16.37,2.02,10.13,True,False,2,0.39,0.5,False,0,0,-24.8,13.42,44.67,0.73,0.75,False,False,False,31.19,False,False,True,3,D 趋势向下,"['MA60微向上', 'ADX>40(强趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sh600549,厦门钨业,56.44,3.16,534570,2.0
-12.56,34.89,3.88,False,False,0,0.67,0.61,True,0,0,-24.2,33.13,34.7,0.77,0.58,True,False,False,27.46,False,False,True,5,C 趋势偏弱,"['MA60角度>5度', '高低点持续抬升', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%']",sz002409,雅克科技,151.22,1.15,226483,2.0
