score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
12,A++ 强烈看好,150.99,True,True,True,True,True,145.32,143.79,138.05,146.15,0.822,-0.8623,3.3688,False,False,False,50.0,False,False,138.05,157.86,118.23,70.3,67.01,76.87,True,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; 放量; RSI中性; KDJ金叉; 接近布林上轨,sz002353,杰瑞股份
9,A++ 强烈看好,52.21,True,True,True,False,True,49.8,48.76,45.49,53.61,-0.4256,-1.6681,2.485,False,False,False,62.6,False,False,45.49,53.39,37.6,81.2,77.08,89.42,True,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; KDJ金叉; 接近布林上轨,sz002138,顺络电子
8,A++ 强烈看好,51.7,True,True,True,True,True,50.54,47.95,42.18,42.97,2.59,1.2896,2.6007,False,False,True,86.9,True,False,42.18,54.94,29.41,88.76,87.2,91.88,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI超买; KDJ金叉,sh603156,养元饮品
10,A++ 强烈看好,29.07,True,True,True,False,True,27.98,27.59,26.78,29.63,-0.2598,-0.6429,0.7662,False,False,False,66.8,False,False,26.78,29.05,24.5,83.89,82.08,87.5,True,True,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; 放量; KDJ金叉; 接近布林上轨,sz002876,三利谱
10,A++ 强烈看好,67.89,True,True,True,False,True,67.32,66.72,65.73,74.86,-1.9137,-2.652,1.4766,False,False,False,57.0,False,False,65.73,68.86,62.6,78.57,75.6,84.51,True,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; KDJ金叉; 接近布林上轨,sz002049,紫光国微
8,A++ 强烈看好,54.1,True,True,True,False,True,53.48,52.22,49.87,55.97,-0.2123,-1.1906,1.9564,False,False,False,68.4,False,False,49.87,56.06,43.68,77.36,75.92,80.25,True,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; KDJ金叉; 接近布林上轨,sz002738,中矿资源
9,A++ 强烈看好,97.71,True,True,True,True,False,96.63,96.65,96.23,93.77,1.0705,1.1709,-0.2008,False,False,True,61.1,False,False,96.23,98.93,93.53,45.43,43.28,49.72,True,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; 放量; KDJ金叉; 接近布林上轨,sh600941,中国移动
7,A+ 看好,56.27,True,True,False,True,False,55.79,56.17,56.47,53.43,0.6131,0.9473,-0.6684,False,False,True,53.7,False,False,56.47,59.51,53.44,28.09,27.53,29.2,True,False,False,站上MA5; 站上MA10; 站上MA60; 零轴上方; RSI中性; KDJ金叉,sh600660,福耀玻璃
