score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
8,A++ 强烈看好,31.31,True,True,True,False,False,28.78,29.48,30.22,32.5,-1.0453,-1.0994,0.1081,True,False,False,44.0,False,False,30.22,33.14,27.3,46.21,28.67,81.3,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性,sh601899,紫金矿业
8,A++ 强烈看好,72.84,True,True,True,True,True,67.67,65.74,64.84,56.33,2.7941,2.3987,0.7907,False,False,True,68.1,False,False,64.84,70.42,59.27,78.48,60.83,113.77,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; KDJ超买; 接近布林上轨,sz002768,国恩股份
8,A++ 强烈看好,75.82,True,True,True,False,False,70.36,71.55,73.73,80.1,-2.7579,-3.0117,0.5076,True,False,False,48.9,False,False,73.73,80.16,67.3,50.63,29.14,93.61,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性,sh600309,万华化学
8,A++ 强烈看好,31.2,True,True,True,True,True,28.21,27.21,26.07,24.63,0.9278,0.416,1.0235,False,False,True,71.6,True,False,26.07,30.2,21.95,73.65,64.76,91.42,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; 接近布林上轨,sz002824,和胜股份
7,A+ 看好,323.37,True,True,True,True,False,316.95,307.51,309.2,255.71,11.1131,11.8361,-1.446,False,False,True,55.1,False,False,309.2,340.12,278.28,72.03,62.9,90.28,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; 接近布林上轨,sh603061,金海通
7,A+ 看好,190.29,True,True,False,True,False,180.26,186.47,191.52,157.52,2.5423,5.8904,-6.6964,False,False,True,44.7,False,False,191.52,214.91,168.12,31.9,27.34,41.03,True,False,False,站上MA5; 站上MA10; 站上MA60; 零轴上方; RSI中性; KDJ金叉,sh603083,剑桥科技
7,A+ 看好,30.96,True,True,True,False,False,28.63,29.3,30.92,36.21,-2.1085,-2.2649,0.3128,True,False,False,37.4,False,False,30.92,35.26,26.58,44.86,27.17,80.25,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大,sz000603,盛达资源
7,A+ 看好,93.0,True,True,True,True,True,83.1,69.4,58.48,45.16,11.0522,6.9361,8.2321,False,False,True,93.1,True,False,58.48,90.43,26.53,95.52,92.06,102.43,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ超买; 接近布林上轨,sz002636,金安国纪
7,A+ 看好,40.86,True,True,True,True,False,36.56,38.55,38.44,36.14,-0.0319,0.2076,-0.4792,False,False,False,48.4,False,False,38.44,44.07,32.81,38.64,32.58,50.76,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; RSI中性; KDJ金叉,sz000960,锡业股份
7,A+ 看好,182.31,True,True,True,True,True,174.8,163.68,146.83,127.16,13.7964,10.0177,7.5574,False,False,True,74.1,True,False,146.83,187.91,105.75,86.54,84.42,90.79,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI超买; 接近布林上轨,sh603124,江南新材
7,A+ 看好,96.4,True,True,True,True,True,88.36,86.99,86.98,71.99,2.9249,3.0139,-0.178,False,False,True,60.4,False,False,86.98,96.0,77.96,69.73,51.71,105.78,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; KDJ超买; 接近布林上轨,sz002428,云南锗业
7,A+ 看好,32.6,True,True,True,True,False,30.5,30.88,31.05,29.2,0.0977,0.1742,-0.153,False,False,True,47.3,False,False,31.05,33.57,28.54,53.86,42.39,76.79,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; 接近布林上轨,sh601168,西部矿业
7,A+ 看好,53.73,True,True,True,False,False,49.46,49.77,52.68,60.59,-2.9179,-3.3143,0.7928,True,False,False,41.6,False,False,52.68,59.92,45.44,55.33,30.72,104.57,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; KDJ超买,sz001233,海安集团
6,A+ 看好,86.87,True,True,False,True,False,85.35,86.23,89.57,74.75,1.1348,2.5465,-2.8234,False,False,True,29.8,False,True,89.57,99.69,79.45,37.98,30.34,53.26,False,False,False,站上MA5; 站上MA10; 站上MA60; 零轴上方; RSI超卖,sz002947,恒铭达
6,A+ 看好,82.7,True,True,True,True,False,77.61,77.4,78.42,81.46,-1.4481,-1.9183,0.9405,False,False,False,47.4,False,False,78.42,83.98,72.86,65.67,44.74,107.53,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sz000408,藏格矿业
6,A+ 看好,63.15,True,True,True,True,True,61.49,60.66,51.44,32.19,8.5359,8.4013,0.2693,False,False,True,71.3,True,False,51.44,73.62,29.26,71.35,76.15,61.76,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI超买,sz000636,风华高科
6,A+ 看好,52.88,True,True,False,False,False,49.13,50.04,53.35,58.76,-3.0839,-3.1137,0.0596,True,False,False,36.4,False,False,53.35,61.37,45.32,46.33,27.76,83.49,False,False,False,站上MA5; 站上MA10; MACD金叉; 红柱放大,sh603799,华友钴业
6,A+ 看好,58.28,True,True,False,False,False,55.43,56.83,58.38,68.11,-3.0667,-3.4125,0.6915,False,False,False,43.6,False,False,58.38,63.64,53.13,43.04,34.19,60.72,True,False,False,站上MA5; 站上MA10; 红柱放大; RSI中性; KDJ金叉,sh600486,扬农化工
6,A+ 看好,32.86,True,True,False,False,False,29.81,30.94,33.0,38.52,-2.3259,-2.3342,0.0166,True,False,False,34.7,False,False,33.0,38.5,27.49,41.05,22.66,77.82,False,False,False,站上MA5; 站上MA10; MACD金叉; 红柱放大,sh600988,赤峰黄金
6,A+ 看好,60.13,True,True,True,True,False,56.69,56.29,58.44,50.45,1.2884,1.7235,-0.8702,False,False,True,42.6,False,False,58.44,67.2,49.68,62.85,46.09,96.37,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性,sz000962,东方钽业
6,A+ 看好,33.34,True,True,True,True,True,31.79,31.35,26.38,22.99,2.9561,2.3381,1.236,False,False,True,77.1,True,False,26.38,37.51,15.25,75.47,77.38,71.66,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI超买,sh603011,合锻智能
