score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
4,B 偏多,355.18,True,True,True,False,False,343.5,324.31,326.97,407.66,-17.0669,-27.2794,20.4249,False,False,False,54.5,False,False,326.97,406.0,247.94,83.92,74.64,102.49,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性; KDJ超买,sh601869,长飞光纤
5,B 偏多,417.48,True,True,True,False,False,408.09,392.47,407.5,524.66,-35.1999,-44.3618,18.3238,False,False,False,46.6,False,False,407.5,482.88,332.11,76.49,66.65,96.18,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sh603986,兆易创新
5,B 偏多,406.19,True,True,True,False,False,402.42,390.39,404.02,619.68,-63.6588,-77.484,27.6505,False,False,False,51.1,False,False,404.02,484.67,323.37,68.28,60.77,83.31,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sz001309,德明利
7,A+ 看好,191.52,True,True,True,False,True,184.75,179.28,178.46,209.8,-5.9226,-9.4681,7.0911,False,False,False,49.5,False,False,178.46,203.08,153.83,75.94,66.48,94.84,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性,sz002281,光迅科技
12,A++ 强烈看好,150.99,True,True,True,True,True,145.32,143.79,138.05,146.15,0.822,-0.8623,3.3688,False,False,False,50.0,False,False,138.05,157.86,118.23,70.3,67.01,76.87,True,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; 放量; RSI中性; KDJ金叉; 接近布林上轨,sz002353,杰瑞股份
9,A++ 强烈看好,390.3,True,True,True,True,True,387.78,387.46,374.77,353.82,9.0637,8.7513,0.6247,False,False,True,69.1,False,False,374.77,408.72,340.83,53.32,59.65,40.66,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 放量; 接近布林上轨,sh603444,吉比特
8,A++ 强烈看好,179.26,True,True,True,True,True,176.0,172.28,161.72,152.11,6.9382,5.2899,3.2965,False,False,True,69.2,False,False,161.72,188.57,134.87,70.3,72.09,66.72,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 接近布林上轨,sh603268,松发股份
5,B 偏多,144.28,True,True,True,False,True,141.09,130.49,122.39,148.6,-0.4086,-5.3911,9.9649,False,False,False,57.2,False,False,122.39,152.29,92.49,87.09,79.89,101.5,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; RSI中性; KDJ超买,sh603124,江南新材
8,A++ 强烈看好,95.08,True,True,True,False,True,88.25,81.14,80.28,101.51,-2.1916,-5.4811,6.5791,False,False,False,58.8,False,False,80.28,99.31,61.25,85.51,76.76,103.02,False,True,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; 放量; RSI中性; KDJ超买; 接近布林上轨,sz002980,华盛昌
4,B 偏多,68.81,True,True,True,False,False,64.84,60.29,60.63,70.65,-1.7663,-3.4554,3.3781,False,False,False,53.7,False,False,60.63,72.73,48.54,87.69,75.74,111.57,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性; KDJ超买,sh603800,洪田股份
7,A+ 看好,169.46,True,True,True,False,True,166.75,161.79,158.8,179.75,-3.1295,-5.9889,5.7187,False,False,False,51.1,False,False,158.8,181.67,135.93,78.06,72.66,88.85,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性,sz001389,广合科技
8,A++ 强烈看好,76.65,True,True,True,True,True,75.95,75.91,73.53,69.71,2.3326,2.4243,-0.1834,False,False,True,58.7,False,False,73.53,81.94,65.12,51.47,58.71,36.98,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI中性,sh603979,金诚信
5,B 偏多,99.0,True,True,True,False,False,95.87,93.85,94.9,118.92,-5.5534,-7.4693,3.8318,False,False,False,46.1,False,False,94.9,108.96,80.84,74.83,65.37,93.75,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sz002008,大族激光
6,A+ 看好,59.93,True,True,True,False,True,57.26,52.79,50.35,65.78,-1.984,-4.2437,4.5193,False,False,False,61.3,False,False,50.35,61.82,38.88,85.94,77.57,102.68,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; KDJ超买; 接近布林上轨,sz002080,中材科技
7,A+ 看好,92.2,True,True,True,True,True,89.26,86.06,78.84,88.19,1.3579,-0.9982,4.7122,False,False,False,74.0,True,False,78.84,95.46,62.22,81.81,79.57,86.29,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; RSI超买; 接近布林上轨,sh600259,中稀有色
7,A+ 看好,95.69,True,True,True,True,True,90.89,85.93,81.25,85.27,2.3964,0.1662,4.4605,False,False,True,70.4,True,False,81.25,95.15,67.35,91.32,84.78,104.4,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ超买; 接近布林上轨,sh603175,超颖电子
6,A+ 看好,117.8,True,True,True,False,True,115.24,113.13,105.25,128.25,-2.8392,-5.7388,5.7993,False,False,False,63.6,False,False,105.25,124.43,86.08,81.58,78.94,86.84,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大,sz001270,铖昌科技
5,B 偏多,99.99,True,True,True,False,True,98.8,91.65,86.5,115.32,-2.7566,-6.4525,7.3917,False,False,False,58.9,False,False,86.5,106.74,66.25,88.23,81.26,102.16,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; RSI中性; KDJ超买,sz002975,博杰股份
3,C 中性,284.99,False,False,False,True,False,290.21,294.4,291.97,259.75,6.2817,9.6997,-6.8361,False,False,True,42.1,False,False,291.97,316.18,267.75,25.93,37.42,2.95,False,False,False,站上MA60; 零轴上方; RSI中性,sh603129,春风动力
7,A+ 看好,89.92,True,True,True,False,True,87.92,85.16,83.89,93.03,-2.6234,-4.0329,2.8189,False,False,False,50.6,False,False,83.89,95.7,72.07,80.74,73.6,95.01,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性,sz001359,平安电工
8,A++ 强烈看好,90.34,True,True,True,False,True,87.98,85.46,84.14,95.81,-2.2166,-3.6371,2.841,False,False,False,58.1,False,False,84.14,91.69,76.59,81.23,77.11,89.48,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; 接近布林上轨,sz002718,友邦吊顶
7,A+ 看好,53.5,True,True,True,True,True,50.74,48.91,46.86,50.06,0.7464,-0.218,1.9288,False,False,False,63.7,False,False,46.86,52.8,40.92,88.9,82.98,100.72,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; KDJ超买; 接近布林上轨,sh603226,菲林格尔
9,A++ 强烈看好,52.21,True,True,True,False,True,49.8,48.76,45.49,53.61,-0.4256,-1.6681,2.485,False,False,False,62.6,False,False,45.49,53.39,37.6,81.2,77.08,89.42,True,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; KDJ金叉; 接近布林上轨,sz002138,顺络电子
7,A+ 看好,106.08,True,True,True,False,True,103.33,101.12,96.6,115.43,-1.942,-4.2523,4.6207,False,False,False,63.3,False,False,96.6,109.96,83.24,80.37,73.53,94.05,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; 接近布林上轨,sh603297,永新光学
5,B 偏多,69.79,True,True,True,False,False,66.67,64.35,64.58,80.67,-3.5659,-5.1007,3.0698,False,False,False,49.8,False,False,64.58,74.37,54.78,75.86,66.7,94.18,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sz002484,江海股份
5,B 偏多,205.19,True,True,True,False,False,197.46,190.1,194.44,223.31,-7.9417,-11.4578,7.0321,False,False,False,47.5,False,False,194.44,230.86,158.01,77.41,67.01,98.21,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sz002384,东山精密
5,B 偏多,62.1,True,True,True,False,False,59.44,57.2,57.47,66.27,-2.0542,-3.1932,2.2781,False,False,False,46.7,False,False,57.47,66.92,48.01,75.32,64.44,97.08,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sh603950,长源东谷
5,B 偏多,61.2,True,True,True,False,False,61.09,59.43,59.49,62.7,-1.4933,-1.9832,0.9798,False,False,False,47.8,False,False,59.49,69.17,49.81,64.52,62.63,68.3,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sh603757,大元泵业
8,A++ 强烈看好,134.85,True,True,True,True,True,133.04,127.52,123.48,127.65,-0.2121,-2.1656,3.9069,False,False,False,59.8,False,False,123.48,140.75,106.22,87.72,80.69,101.78,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sh603991,领先股份
5,B 偏多,109.79,True,True,True,False,False,106.13,103.45,104.31,140.17,-8.3888,-11.1548,5.532,False,False,False,48.0,False,False,104.31,117.12,91.5,79.02,68.73,99.6,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sz000988,华工科技
7,A+ 看好,35.55,True,True,True,False,True,33.45,32.36,31.77,43.03,-2.2326,-3.363,2.2607,False,False,False,58.5,False,False,31.77,36.05,27.5,83.92,75.31,101.13,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sh600522,中天科技
5,B 偏多,154.18,True,True,True,False,False,154.14,145.72,145.81,193.17,-9.9113,-14.312,8.8015,False,False,False,47.1,False,False,145.81,172.03,119.59,74.74,67.6,89.01,False,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性,sh603256,宏和科技
8,A++ 强烈看好,44.39,True,True,True,False,True,43.11,41.03,39.93,47.6,-1.6225,-2.6938,2.1426,False,False,False,56.0,False,False,39.93,45.88,33.98,82.94,74.67,99.46,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; 接近布林上轨,sh600176,中国巨石
6,A+ 看好,55.37,True,True,True,False,True,55.11,52.58,50.08,60.42,-1.3026,-2.7315,2.8577,False,False,False,55.9,False,False,50.08,59.43,40.74,77.07,74.51,82.19,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; RSI中性,sz000962,东方钽业
7,A+ 看好,73.35,True,True,True,False,True,70.76,68.37,65.18,76.87,-0.9754,-2.7146,3.4785,False,False,False,68.5,False,False,65.18,74.31,56.05,84.49,80.73,92.02,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; 接近布林上轨,sz002192,融捷股份
7,A+ 看好,39.35,True,True,True,False,True,37.25,35.57,34.88,49.73,-2.7703,-4.108,2.6754,False,False,False,57.7,False,False,34.88,40.97,28.8,88.14,77.03,110.36,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sh603931,格林达
6,A+ 看好,42.08,True,True,True,False,True,40.88,38.69,38.6,48.98,-2.2467,-3.398,2.3028,False,False,False,53.2,False,False,38.6,44.84,32.35,84.4,75.08,103.06,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; KDJ超买,sh603663,三祥新材
6,A+ 看好,67.79,True,True,True,False,True,67.32,61.66,61.22,77.2,-4.0241,-6.2692,4.4902,False,False,False,54.4,False,False,61.22,76.77,45.68,83.97,75.93,100.07,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; RSI中性; KDJ超买,sz002636,金安国纪
6,A+ 看好,38.3,True,True,True,False,True,36.97,35.18,33.07,44.65,-1.602,-3.0302,2.8564,False,False,False,62.4,False,False,33.07,39.5,26.65,88.97,82.07,102.77,False,False,False,站上MA5; 站上MA10; 站上MA20; 多头排列; 红柱放大; KDJ超买; 接近布林上轨,sh603738,泰晶科技
