score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
9,A++ 强烈看好,82.59,True,True,True,True,True,74.43,71.8,66.84,57.79,4.9961,3.8586,2.2751,False,False,True,68.9,False,False,66.84,81.84,51.85,84.25,78.61,95.52,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz000657,中钨高新
9,A++ 强烈看好,63.25,True,True,True,True,False,57.41,60.2,57.64,53.82,1.1704,1.2387,-0.1365,False,False,True,59.2,False,False,57.64,66.2,49.08,41.3,39.17,45.56,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sh600301,华锡有色
5,B 偏多,71.8,True,True,False,False,False,69.17,71.57,73.88,80.15,-3.3172,-3.0732,-0.4881,False,False,False,40.5,False,False,73.88,80.61,67.14,27.27,18.54,44.73,True,False,False,站上MA5; 站上MA10; RSI中性; KDJ金叉,sh600309,万华化学
0,D 偏空,225.05,False,False,False,False,False,229.75,230.31,234.57,245.03,-6.591,-6.0001,-1.1817,False,False,False,39.1,False,False,234.57,249.42,219.72,34.43,35.17,32.95,False,False,False,无明显信号,sh603129,春风动力
3,C 中性,51.37,True,True,False,False,False,48.26,49.62,52.8,60.87,-3.4262,-3.4134,-0.0257,False,False,False,33.2,False,False,52.8,60.19,45.4,34.5,18.41,66.69,False,True,False,站上MA5; 站上MA10; 放量,sz001233,海安集团
2,C 中性,85.99,True,True,False,False,False,81.94,84.13,89.43,92.1,-4.0951,-3.4563,-1.2777,False,False,False,34.5,False,False,89.43,102.72,76.13,36.14,21.88,64.66,False,False,False,站上MA5; 站上MA10,sh603026,石大胜华
7,A+ 看好,88.74,True,True,True,True,True,77.06,64.97,55.96,44.13,9.6199,5.8888,7.4622,False,False,True,92.8,True,False,55.96,83.79,28.13,93.58,90.06,100.62,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ超买; 接近布林上轨,sz002636,金安国纪
8,A++ 强烈看好,174.49,True,True,True,True,True,158.77,140.15,130.62,92.73,17.9356,14.0794,7.7124,False,False,True,76.7,True,False,130.62,170.91,90.34,83.78,76.31,98.74,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; 接近布林上轨,sh603186,华正新材
9,A++ 强烈看好,79.77,True,True,True,False,False,75.74,76.76,78.3,81.41,-1.9918,-2.0308,0.0781,True,False,False,50.9,False,False,78.3,83.58,73.03,50.63,34.62,82.65,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; 接近布林上轨,sz000408,藏格矿业
7,A+ 看好,67.15,True,True,True,True,False,65.37,65.54,61.58,61.32,1.6091,1.1165,0.9852,False,False,True,67.8,False,False,61.58,70.3,52.86,69.43,71.32,65.65,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; 红柱放大; 接近布林上轨,sh603605,珀莱雅
