date,code,name,action,price,shares,strength,buy_price,return,reason
2025-11-13T00:00:00.000000,sh601888,中国中免,买入,90.27,200.0,6.0,,,
2025-11-20T00:00:00.000000,sz000001,平安银行,买入,11.49,200.0,6.0,,,
2025-11-21T00:00:00.000000,sh601888,中国中免,卖出,78.8,200.0,,90.27,-0.12706325468040322,止损(-12.7%)
2025-11-24T00:00:00.000000,sz002271,东方雨虹,买入,13.12,200.0,5.5,,,
2025-11-28T00:00:00.000000,sz002271,东方雨虹,卖出,12.52,200.0,,13.12,-0.04573170731707315,跌破MA60
2025-12-09T00:00:00.000000,sz000001,平安银行,卖出,11.07,200.0,,11.49,-0.03655352480417754,跌破MA60
2025-12-12T00:00:00.000000,sh601318,中国平安,买入,62.16,200.0,7.0,,,
2025-12-12T00:00:00.000000,sh601688,华泰证券,买入,22.16,200.0,6.0,,,
2025-12-15T00:00:00.000000,sh601601,中国太保,买入,39.58,200.0,7.0,,,
2025-12-17T00:00:00.000000,sh600309,万华化学,买入,72.97,200.0,8.0,,,
2025-12-22T00:00:00.000000,sh601888,中国中免,买入,91.09,200.0,9.0,,,
2026-01-06T00:00:00.000000,sh601318,中国平安,卖出,72.57,200.0,,62.16,0.16747104247104241,持有20天
2026-01-06T00:00:00.000000,sh601688,华泰证券,卖出,25.56,200.0,,22.16,0.15342960288808657,持有20天
2026-01-06T00:00:00.000000,sh601601,中国太保,卖出,47.35,200.0,,39.58,0.19631126831733206,持有20天
2026-01-06T00:00:00.000000,sh600030,中信证券,买入,29.49,200.0,8.5,,,
2026-01-06T00:00:00.000000,sz000725,京东方A,买入,4.5,200.0,8.5,,,
2026-01-06T00:00:00.000000,sh601318,中国平安,买入,72.57,200.0,7.5,,,
2026-01-07T00:00:00.000000,sh600309,万华化学,卖出,80.68,200.0,,72.97,0.10565986021652746,持有20天
2026-01-07T00:00:00.000000,sh601899,紫金矿业,买入,36.72,200.0,6.0,,,
2026-01-08T00:00:00.000000,sh600030,中信证券,卖出,27.84,200.0,,29.49,-0.05595116988809762,跌破MA60
2026-01-08T00:00:00.000000,sz002271,东方雨虹,买入,14.59,200.0,7.0,,,
2026-01-13T00:00:00.000000,sh601888,中国中免,卖出,91.91,200.0,,91.09,0.009002085849160096,持有20天
2026-01-13T00:00:00.000000,sz002230,科大讯飞,买入,60.89,200.0,7.5,,,
2026-01-14T00:00:00.000000,sh601318,中国平安,卖出,65.25,200.0,,72.57,-0.10086812732534096,止损(-10.1%)
2026-01-20T00:00:00.000000,sz002493,荣盛石化,买入,12.544,200.0,7.5,,,
2026-01-27T00:00:00.000000,sz000725,京东方A,卖出,4.56,200.0,,4.5,0.013333333333333246,持有20天
2026-01-28T00:00:00.000000,sh601899,紫金矿业,卖出,42.3,200.0,,36.72,0.15196078431372545,持有20天
2026-01-28T00:00:00.000000,sh601899,紫金矿业,买入,42.3,200.0,7.0,,,
2026-01-28T00:00:00.000000,sh600585,海螺水泥,买入,24.4,200.0,6.5,,,
2026-01-29T00:00:00.000000,sz002271,东方雨虹,卖出,17.95,200.0,,14.59,0.23029472241261134,持有20天
2026-01-29T00:00:00.000000,sz002271,东方雨虹,买入,17.95,200.0,7.0,,,
2026-02-02T00:00:00.000000,sh601899,紫金矿业,卖出,36.61,200.0,,42.3,-0.13451536643026,止损(-13.5%)
