date,capital,portfolio_value,positions
2025-11-13T00:00:00.000000,67153.64905,99990.14905,2
2025-11-14T00:00:00.000000,63045.61701000001,99483.41701000002,3
2025-11-17T00:00:00.000000,63045.61701000001,99146.41701000002,3
2025-11-18T00:00:00.000000,63045.61701000001,98517.91701000002,3
2025-11-19T00:00:00.000000,63045.61701000001,98203.41701000002,3
2025-11-20T00:00:00.000000,60172.255260000005,98044.05526000001,4
2025-11-21T00:00:00.000000,60172.255260000005,97113.55526000001,4
2025-11-24T00:00:00.000000,60172.255260000005,96789.55526000001,4
2025-11-25T00:00:00.000000,60172.255260000005,97417.05526000001,4
2025-11-26T00:00:00.000000,60172.255260000005,97577.05526000001,4
2025-11-27T00:00:00.000000,54652.59986,97120.39986,5
2025-11-28T00:00:00.000000,54652.59986,97055.89986,5
2025-12-01T00:00:00.000000,54652.59986,98059.89986,5
2025-12-02T00:00:00.000000,54652.59986,97937.89986,5
2025-12-03T00:00:00.000000,54652.59986,97476.89986,5
2025-12-04T00:00:00.000000,54652.59986,97309.89986,5
2025-12-05T00:00:00.000000,54652.59986,98113.89986,5
2025-12-08T00:00:00.000000,54652.59986,98623.89986,5
2025-12-09T00:00:00.000000,61348.89037,97863.89037000001,3
2025-12-10T00:00:00.000000,61348.89037,98404.89037000001,3
2025-12-11T00:00:00.000000,61348.89037,97699.89037000001,3
2025-12-12T00:00:00.000000,56915.560770000004,98065.56077000001,4
2025-12-15T00:00:00.000000,45037.99857,99094.49857,5
2025-12-16T00:00:00.000000,77360.79882000001,99007.79882000001,3
2025-12-17T00:00:00.000000,55463.231520000016,99825.23152000002,4
2025-12-18T00:00:00.000000,52388.309320000015,100145.30932000001,5
2025-12-19T00:00:00.000000,52388.309320000015,100148.30932000001,5
2025-12-22T00:00:00.000000,52388.309320000015,100328.30932000001,5
2025-12-23T00:00:00.000000,52388.309320000015,100146.30932000001,5
2025-12-24T00:00:00.000000,52388.309320000015,100744.30932000001,5
