date,code,name,action,price,shares,strength,buy_price,return,reason
2025-11-13T00:00:00.000000,sh601318,中国平安,买入,59.13,250.0,7.0,,,
2025-11-13T00:00:00.000000,sh601888,中国中免,买入,90.27,200.0,6.0,,,
2025-11-14T00:00:00.000000,sh601166,兴业银行,买入,20.534,200.0,6.0,,,
2025-11-20T00:00:00.000000,sz000001,平安银行,买入,11.49,250.0,7.0,,,
2025-11-27T00:00:00.000000,sh600690,海尔智家,买入,27.59,200.0,6.0,,,
2025-12-09T00:00:00.000000,sh601166,兴业银行,卖出,19.654,200.0,,20.534,-0.04285575143664162,跌破MA60
2025-12-09T00:00:00.000000,sz000001,平安银行,卖出,11.07,250.0,,11.49,-0.03655352480417754,跌破MA60
2025-12-12T00:00:00.000000,sh601688,华泰证券,买入,22.16,200.0,6.0,,,
2025-12-15T00:00:00.000000,sh601601,中国太保,买入,39.58,300.0,8.0,,,
2025-12-16T00:00:00.000000,sh601318,中国平安,卖出,65.25,250.0,,59.13,0.10350076103500756,持有30天
2025-12-16T00:00:00.000000,sh601888,中国中免,卖出,80.1,200.0,,90.27,-0.11266201395812565,持有30天
2025-12-17T00:00:00.000000,sh600309,万华化学,买入,72.97,300.0,8.5,,,
2025-12-18T00:00:00.000000,sh601919,中远海控,买入,15.37,200.0,6.0,,,
2025-12-30T00:00:00.000000,sh600690,海尔智家,卖出,26.54,200.0,,27.59,-0.03805726712577023,持有30天
2025-12-30T00:00:00.000000,sz002493,荣盛石化,买入,11.884,300.0,8.0,,,
2026-01-05T00:00:00.000000,sh601919,中远海控,卖出,14.9,200.0,,15.37,-0.030579050097592642,跌破MA60
2026-01-05T00:00:00.000000,sz002230,科大讯飞,买入,53.84,300.0,8.0,,,
2026-01-13T00:00:00.000000,sh601688,华泰证券,卖出,24.08,200.0,,22.16,0.08664259927797825,持有30天
2026-01-13T00:00:00.000000,sz002027,分众传媒,买入,8.02,250.0,7.0,,,
2026-01-15T00:00:00.000000,sh601601,中国太保,卖出,44.92,300.0,,39.58,0.1349166245578576,持有30天
2026-01-15T00:00:00.000000,sz002241,歌尔股份,买入,30.643,250.0,7.0,,,
2026-01-16T00:00:00.000000,sz002027,分众传媒,卖出,7.43,250.0,,8.02,-0.07356608478802991,跌破MA60
2026-01-19T00:00:00.000000,sh600309,万华化学,卖出,81.15,300.0,,72.97,0.1121008633685077,持有30天
2026-01-20T00:00:00.000000,sz002241,歌尔股份,卖出,29.353,250.0,,30.643,-0.042097705838201195,跌破MA60
2026-01-20T00:00:00.000000,sz002271,东方雨虹,买入,15.37,300.0,8.5,,,
2026-01-20T00:00:00.000000,sh600309,万华化学,买入,84.77,300.0,8.0,,,
2026-01-21T00:00:00.000000,sz002415,海康威视,买入,31.85,300.0,8.0,,,
2026-01-30T00:00:00.000000,sz002493,荣盛石化,卖出,14.654,300.0,,11.884,0.23308650286098953,持有30天
2026-01-30T00:00:00.000000,sh600585,海螺水泥,买入,24.52,200.0,6.0,,,
2026-02-05T00:00:00.000000,sz002230,科大讯飞,卖出,55.75,300.0,,53.84,0.035475482912332774,持有30天
2026-02-25T00:00:00.000000,sz002271,东方雨虹,卖出,18.75,300.0,,15.37,0.21990891346779445,持有30天
2026-02-25T00:00:00.000000,sh600309,万华化学,卖出,88.46,300.0,,84.77,0.04352955054854309,持有30天
2026-02-25T00:00:00.000000,sz002415,海康威视,卖出,31.18,300.0,,31.85,-0.021036106750392518,持有30天
2026-03-02T00:00:00.000000,sh601088,中国神华,买入,44.73,300.0,8.5,,,
2026-03-02T00:00:00.000000,sh601919,中远海控,买入,15.44,300.0,8.0,,,
2026-03-02T00:00:00.000000,sz002493,荣盛石化,买入,15.924,250.0,7.0,,,
2026-03-03T00:00:00.000000,sh600585,海螺水泥,卖出,25.24,200.0,,24.52,0.029363784665579075,持有30天
2026-03-04T00:00:00.000000,sz002594,比亚迪,买入,95.99,200.0,6.0,,,
2026-03-06T00:00:00.000000,sz002594,比亚迪,卖出,93.62,200.0,,95.99,-0.02469007188248766,跌破MA60
2026-03-06T00:00:00.000000,sz002714,牧原股份,买入,48.918,250.0,7.0,,,
2026-03-09T00:00:00.000000,sz002594,比亚迪,买入,97.52,250.0,7.5,,,
2026-03-13T00:00:00.000000,sz002493,荣盛石化,卖出,13.524,250.0,,15.924,-0.1507159005275057,移动止盈(-15.1%)
2026-03-16T00:00:00.000000,sz300750,宁德时代,买入,401.494,125.0,7.0,,,
2026-03-23T00:00:00.000000,sz002714,牧原股份,卖出,44.778,250.0,,48.918,-0.08463142401569976,跌破MA60
2026-03-31T00:00:00.000000,sh601919,中远海控,卖出,15.01,300.0,,15.44,-0.027849740932642468,跌破MA60
2026-04-02T00:00:00.000000,sh601088,中国神华,卖出,47.69,300.0,,44.73,0.06617482673820704,持有30天
2026-04-09T00:00:00.000000,sz002594,比亚迪,卖出,99.03,250.0,,97.52,0.015484003281378231,持有30天
2026-04-16T00:00:00.000000,sz300750,宁德时代,卖出,447.074,125.0,,401.494,0.11352598046297076,持有30天
2026-04-16T00:00:00.000000,sz300750,宁德时代,买入,447.074,248.0,8.0,,,
2026-05-19T00:00:00.000000,sz300750,宁德时代,卖出,417.92,248.0,,447.074,-0.065210681005829,持有30天
2026-06-01T00:00:00.000000,sh601088,中国神华,买入,49.0,250.0,7.0,,,
2026-06-10T00:00:00.000000,sz000333,美的集团,买入,83.9,200.0,6.0,,,
2026-06-12T00:00:00.000000,sh601088,中国神华,卖出,46.14,250.0,,49.0,-0.058367346938775495,跌破MA60
2026-06-12T00:00:00.000000,sh601688,华泰证券,买入,19.97,250.0,7.5,,,
2026-06-12T00:00:00.000000,sh600900,长江电力,买入,28.28,250.0,7.0,,,
