date,capital,portfolio_value,positions
2025-11-13T00:00:00.000000,81940.5838,99994.5838,1
2025-11-14T00:00:00.000000,81940.5838,99546.5838,1
2025-11-17T00:00:00.000000,81940.5838,99450.5838,1
2025-11-18T00:00:00.000000,81940.5838,98898.5838,1
2025-11-19T00:00:00.000000,81940.5838,98370.5838,1
2025-11-20T00:00:00.000000,79641.89439999999,98235.89439999999,2
2025-11-21T00:00:00.000000,95397.16639999999,97663.16639999999,1
2025-11-24T00:00:00.000000,92772.37919999998,97644.37919999998,2
2025-11-25T00:00:00.000000,92772.37919999998,97706.37919999998,2
2025-11-26T00:00:00.000000,92772.37919999998,97554.37919999998,2
2025-11-27T00:00:00.000000,92772.37919999998,97552.37919999998,2
2025-11-28T00:00:00.000000,95275.62799999998,97525.62799999998,1
2025-12-01T00:00:00.000000,95275.62799999998,97541.62799999998,1
2025-12-02T00:00:00.000000,95275.62799999998,97531.62799999998,1
2025-12-03T00:00:00.000000,95275.62799999998,97513.62799999998,1
2025-12-04T00:00:00.000000,95275.62799999998,97501.62799999998,1
2025-12-05T00:00:00.000000,95275.62799999998,97509.62799999998,1
2025-12-08T00:00:00.000000,95275.62799999998,97507.62799999998,1
2025-12-09T00:00:00.000000,97488.96379999998,97488.96379999998,0
2025-12-10T00:00:00.000000,97488.96379999998,97488.96379999998,0
2025-12-11T00:00:00.000000,97488.96379999998,97488.96379999998,0
2025-12-12T00:00:00.000000,80619.90459999998,97483.90459999998,2
2025-12-15T00:00:00.000000,72701.52979999997,98229.52979999997,3
2025-12-16T00:00:00.000000,72701.52979999997,98045.52979999997,3
2025-12-17T00:00:00.000000,58103.151599999976,98851.15159999998,4
2025-12-18T00:00:00.000000,58103.151599999976,99117.15159999998,4
2025-12-19T00:00:00.000000,58103.151599999976,99165.15159999998,4
2025-12-22T00:00:00.000000,39879.686199999975,99267.68619999997,5
2025-12-23T00:00:00.000000,39879.686199999975,98913.68619999997,5
2025-12-24T00:00:00.000000,39879.686199999975,99095.68619999997,5
2025-12-25T00:00:00.000000,39879.686199999975,99087.68619999997,5
2025-12-26T00:00:00.000000,39879.686199999975,100611.68619999997,5
2025-12-29T00:00:00.000000,39879.686199999975,99959.68619999997,5
2025-12-30T00:00:00.000000,39879.686199999975,99577.68619999997,5
2025-12-31T00:00:00.000000,39879.686199999975,100307.68619999997,5
2026-01-05T00:00:00.000000,39879.686199999975,101157.68619999997,5
2026-01-06T00:00:00.000000,47648.563799999974,103418.56379999997,5
2026-01-07T00:00:00.000000,56433.51979999998,103431.51979999998,5
2026-01-08T00:00:00.000000,59080.97399999998,102444.97399999999,5
2026-01-09T00:00:00.000000,59080.97399999998,102940.97399999999,5
2026-01-12T00:00:00.000000,59080.97399999998,102592.97399999999,5
2026-01-13T00:00:00.000000,65275.80599999998,102139.80599999998,5
2026-01-14T00:00:00.000000,78321.89099999999,102323.89099999999,4
2026-01-15T00:00:00.000000,78321.89099999999,102415.89099999999,4
2026-01-16T00:00:00.000000,78321.89099999999,102265.89099999999,4
2026-01-19T00:00:00.000000,78321.89099999999,101757.89099999999,4
2026-01-20T00:00:00.000000,75812.33836,101473.13836,5
2026-01-21T00:00:00.000000,75812.33836,101671.13836,5
2026-01-22T00:00:00.000000,75812.33836,102001.13836,5
2026-01-23T00:00:00.000000,75812.33836,102147.13836,5
2026-01-26T00:00:00.000000,75812.33836,102331.13836,5
2026-01-27T00:00:00.000000,76724.06476,102572.86476,4
2026-01-28T00:00:00.000000,71837.52476,102784.32476,5
2026-01-29T00:00:00.000000,71835.37075999999,104182.17076,5
2026-01-30T00:00:00.000000,71835.37075999999,103074.17076,5
2026-02-02T00:00:00.000000,79155.17416,101203.97416,4
2026-02-03T00:00:00.000000,90775.68695999999,101842.48696,3
2026-02-04T00:00:00.000000,90775.68695999999,102266.48696,3
2026-02-05T00:00:00.000000,90775.68695999999,102208.48696,3
2026-02-06T00:00:00.000000,90775.68695999999,102250.48696,3
2026-02-09T00:00:00.000000,90775.68695999999,102370.48696,3
2026-02-10T00:00:00.000000,93721.60291999999,102211.60291999999,2
