date,capital,portfolio_value,positions
2025-11-13T00:00:00.000000,67153.64905,99990.14905,2
2025-11-14T00:00:00.000000,63045.61701000001,99483.41701000002,3
2025-11-17T00:00:00.000000,63045.61701000001,99146.41701000002,3
2025-11-18T00:00:00.000000,63045.61701000001,98517.91701000002,3
2025-11-19T00:00:00.000000,79470.68801000001,98198.48801000002,2
2025-11-20T00:00:00.000000,76597.32626000002,98173.12626000002,3
2025-11-21T00:00:00.000000,76597.32626000002,97778.62626000002,3
2025-11-24T00:00:00.000000,76597.32626000002,97558.62626000002,3
2025-11-25T00:00:00.000000,76597.32626000002,97954.12626000002,3
2025-11-26T00:00:00.000000,76597.32626000002,97984.12626000002,3
2025-11-27T00:00:00.000000,71077.67086000001,97895.47086000002,4
2025-11-28T00:00:00.000000,71077.67086000001,97724.97086000002,4
2025-12-01T00:00:00.000000,71077.67086000001,97642.97086000002,4
2025-12-02T00:00:00.000000,71077.67086000001,97728.97086000002,4
2025-12-03T00:00:00.000000,68402.86866000001,97585.16866000001,5
2025-12-04T00:00:00.000000,68402.86866000001,97512.16866000001,5
2025-12-05T00:00:00.000000,68402.86866000001,98400.16866000001,5
2025-12-08T00:00:00.000000,68402.86866000001,98640.16866000001,5
2025-12-09T00:00:00.000000,83573.31616,98193.61616,4
2025-12-10T00:00:00.000000,90170.63637,98128.63637,2
2025-12-11T00:00:00.000000,90170.63637,98078.63637,2
2025-12-12T00:00:00.000000,67083.71237,98189.71237,4
2025-12-15T00:00:00.000000,53391.60597,99374.60597,5
2025-12-16T00:00:00.000000,53391.60597,99280.60597,5
2025-12-17T00:00:00.000000,53391.60597,100791.60597,5
2025-12-18T00:00:00.000000,53391.60597,101016.60597,5
2025-12-19T00:00:00.000000,53391.60597,101157.60597,5
2025-12-22T00:00:00.000000,53391.60597,101150.60597,5
2025-12-23T00:00:00.000000,36597.805120000005,101201.30512,5
2025-12-24T00:00:00.000000,36597.805120000005,101332.80512,5
