date,capital,portfolio_value,positions
2025-08-27T00:00:00.000000,75428.13065,99992.63065,3
2025-08-28T00:00:00.000000,75428.13065,99900.63065,3
2025-08-29T00:00:00.000000,75428.13065,100389.63065,3
2025-09-01T00:00:00.000000,75428.13065,100309.63065,3
2025-09-02T00:00:00.000000,75428.13065,100221.63065,3
2025-09-03T00:00:00.000000,75428.13065,99802.63065,3
2025-09-04T00:00:00.000000,75428.13065,99620.63065,3
2025-09-05T00:00:00.000000,75428.13065,100111.63065,3
2025-09-08T00:00:00.000000,75428.13065,100635.63065,3
2025-09-09T00:00:00.000000,75428.13065,100451.63065,3
2025-09-10T00:00:00.000000,75428.13065,100325.63065,3
2025-09-11T00:00:00.000000,75428.13065,100743.63065,3
2025-09-12T00:00:00.000000,75428.13065,100524.63065,3
2025-09-15T00:00:00.000000,75428.13065,100547.63065,3
2025-09-16T00:00:00.000000,75428.13065,100480.63065,3
2025-09-17T00:00:00.000000,75428.13065,100341.63065,3
2025-09-18T00:00:00.000000,75428.13065,100048.63065,3
2025-09-19T00:00:00.000000,75428.13065,100254.63065,3
2025-09-22T00:00:00.000000,87416.73299,99918.03299,2
2025-09-23T00:00:00.000000,87416.73299,99581.03299,2
2025-09-24T00:00:00.000000,87416.73299,99680.03299,2
2025-09-25T00:00:00.000000,87416.73299,99557.03299,2
2025-09-26T00:00:00.000000,87416.73299,99525.03299,2
2025-09-29T00:00:00.000000,87416.73299,99628.03299,2
2025-09-30T00:00:00.000000,87416.73299,99715.03299,2
2025-10-09T00:00:00.000000,76353.41499,99505.71499000001,3
2025-10-10T00:00:00.000000,99148.87430000001,99148.87430000001,0
2025-10-13T00:00:00.000000,99148.87430000001,99148.87430000001,0
2025-10-14T00:00:00.000000,95122.96689000001,99147.66689000001,1
2025-10-15T00:00:00.000000,99170.45228000001,99170.45228000001,0
2025-10-16T00:00:00.000000,96374.61378000001,99169.61378000001,1
2025-10-17T00:00:00.000000,90914.97638000001,99162.97638000001,2
2025-10-20T00:00:00.000000,90914.97638000001,99218.97638000001,2
2025-10-21T00:00:00.000000,93684.14538,99222.14538,1
2025-10-22T00:00:00.000000,93684.14538,99235.14538,1
2025-10-23T00:00:00.000000,90881.30478,99288.30478,2
2025-10-24T00:00:00.000000,90881.30478,99292.30478,2
2025-10-27T00:00:00.000000,90881.30478,99290.30478,2
2025-10-28T00:00:00.000000,90881.30478,99307.30478,2
2025-10-29T00:00:00.000000,90881.30478,99409.30478,2
2025-10-30T00:00:00.000000,90881.30478,99397.30478,2
2025-10-31T00:00:00.000000,83297.03018,99276.03018,3
2025-11-03T00:00:00.000000,83297.03018,99405.03018,3
2025-11-04T00:00:00.000000,83297.03018,99375.03018,3
2025-11-05T00:00:00.000000,83297.03018,99510.03018,3
2025-11-06T00:00:00.000000,83297.03018,99350.03018,3
2025-11-07T00:00:00.000000,83297.03018,99716.03018,3
2025-11-10T00:00:00.000000,83297.03018,100548.03018,3
2025-11-11T00:00:00.000000,83297.03018,100911.03018,3
2025-11-12T00:00:00.000000,83297.03018,100861.03018,3
2025-11-13T00:00:00.000000,83297.03018,101060.03018,3
2025-11-14T00:00:00.000000,83297.03018,100803.03018,3
2025-11-17T00:00:00.000000,83297.03018,100655.03018,3
2025-11-18T00:00:00.000000,83297.03018,100357.03018,3
2025-11-19T00:00:00.000000,83297.03018,100176.03018,3
2025-11-20T00:00:00.000000,83297.03018,100083.03018,3
2025-11-21T00:00:00.000000,83297.03018,99688.03018,3
2025-11-24T00:00:00.000000,83297.03018,99588.03018,3
2025-11-25T00:00:00.000000,83297.03018,99795.03018,3
2025-11-26T00:00:00.000000,78086.80428,99878.80428,3
2025-11-27T00:00:00.000000,83844.07658,99649.07658,2
2025-11-28T00:00:00.000000,83844.07658,99708.07658,2
2025-12-01T00:00:00.000000,83844.07658,100265.07658,2
2025-12-02T00:00:00.000000,83844.07658,100317.07658,2
2025-12-03T00:00:00.000000,83844.07658,100219.07658,2
2025-12-04T00:00:00.000000,83844.07658,100130.07658,2
2025-12-05T00:00:00.000000,83844.07658,100144.07658,2
2025-12-08T00:00:00.000000,83844.07658,100211.07658,2
2025-12-09T00:00:00.000000,77772.25558,99861.25558,3
2025-12-10T00:00:00.000000,77772.25558,100117.25558,3
2025-12-11T00:00:00.000000,85692.87868,99700.87868,2
2025-12-12T00:00:00.000000,85692.87868,99840.87868,2
2025-12-15T00:00:00.000000,85692.87868,100266.87868,2
2025-12-16T00:00:00.000000,85692.87868,100213.87868,2
2025-12-17T00:00:00.000000,85692.87868,100369.87868,2
2025-12-18T00:00:00.000000,85692.87868,100350.87868,2
2025-12-19T00:00:00.000000,85692.87868,100337.87868,2
2025-12-22T00:00:00.000000,85692.87868,100287.87868,2
2025-12-23T00:00:00.000000,85692.87868,100431.87868,2
2025-12-24T00:00:00.000000,85692.87868,100300.87868,2
2025-12-25T00:00:00.000000,85692.87868,100456.87868,2
2025-12-26T00:00:00.000000,76460.10968,100518.10968,3
2025-12-29T00:00:00.000000,76460.10968,100262.10968,3
2025-12-30T00:00:00.000000,76460.10968,100071.10968,3
2025-12-31T00:00:00.000000,76460.10968,100396.10968,3
2026-01-05T00:00:00.000000,76460.10968,100418.10968,3
2026-01-06T00:00:00.000000,84341.74448,100657.74448,2
2026-01-07T00:00:00.000000,79302.43314,100851.23314,3
2026-01-08T00:00:00.000000,79302.43314,100434.23314,3
2026-01-09T00:00:00.000000,79302.43314,100539.23314,3
2026-01-12T00:00:00.000000,77826.8558,100311.8558,3
2026-01-13T00:00:00.000000,77826.8558,100094.8558,3
2026-01-14T00:00:00.000000,77826.8558,99697.8558,3
2026-01-15T00:00:00.000000,77826.8558,99650.8558,3
2026-01-16T00:00:00.000000,83999.00360000001,99300.00360000001,2
2026-01-19T00:00:00.000000,83999.00360000001,99794.00360000001,2
2026-01-20T00:00:00.000000,90482.05810000001,100091.05810000001,1
2026-01-21T00:00:00.000000,90482.05810000001,99991.05810000001,1
2026-01-22T00:00:00.000000,90482.05810000001,99843.05810000001,1
2026-01-23T00:00:00.000000,90482.05810000001,99814.05810000001,1
2026-01-26T00:00:00.000000,90482.05810000001,99748.05810000001,1
2026-01-27T00:00:00.000000,90482.05810000001,99562.05810000001,1
2026-01-28T00:00:00.000000,90482.05810000001,99466.05810000001,1
2026-01-29T00:00:00.000000,79401.73500000002,99708.73500000002,2
2026-01-30T00:00:00.000000,89898.58500000002,98835.58500000002,1
2026-02-02T00:00:00.000000,89898.58500000002,98793.58500000002,1
2026-02-03T00:00:00.000000,89898.58500000002,99058.58500000002,1
2026-02-04T00:00:00.000000,89898.58500000002,99047.58500000002,1
2026-02-05T00:00:00.000000,99142.81090000003,99142.81090000003,0
2026-02-06T00:00:00.000000,99142.81090000003,99142.81090000003,0
2026-02-09T00:00:00.000000,95193.62650000003,99141.62650000003,1
2026-02-10T00:00:00.000000,99126.44630000003,99126.44630000003,0
2026-02-11T00:00:00.000000,99126.44630000003,99126.44630000003,0
2026-02-12T00:00:00.000000,99126.44630000003,99126.44630000003,0
2026-02-13T00:00:00.000000,99126.44630000003,99126.44630000003,0
2026-02-24T00:00:00.000000,99126.44630000003,99126.44630000003,0
2026-02-25T00:00:00.000000,99126.44630000003,99126.44630000003,0
