date,code,name,action,price,shares,strength,atr_stop_pct,buy_price,return,reason
2026-04-16T00:00:00.000000,sz300750,宁德时代,买入,447.074,183.0,8.0,0.10934431436406497,,,
2026-05-07T00:00:00.000000,sz002475,立讯精密,卖出,69.52,250.0,7.5,,55.09,0.26193501542929737,持有25天到期
2026-05-11T00:00:00.000000,sz002415,海康威视,卖出,34.61,200.0,6.0,,31.9,0.08495297805642636,持有25天到期
2026-05-11T00:00:00.000000,sh600048,保利发展,买入,6.64,250.0,7.5,0.08552065404475044,,,
2026-05-11T00:00:00.000000,sz300059,东方财富,买入,21.28,250.0,7.0,0.0691796455424275,,,
2026-05-11T00:00:00.000000,sz000333,美的集团,买入,80.67,200.0,6.0,0.054853105243584985,,,
2026-05-15T00:00:00.000000,sz300059,东方财富,卖出,19.73,250.0,7.0,,21.28,-0.07283834586466169,ATR止损(-7.3%)
2026-05-18T00:00:00.000000,sh600048,保利发展,卖出,6.05,250.0,7.5,,6.64,-0.08885542168674697,普通止盈(-8.9%)
2026-05-25T00:00:00.000000,sz300750,宁德时代,卖出,402.88,183.0,8.0,,447.074,-0.09885164424681377,强势止盈(-9.9%)
2026-06-01T00:00:00.000000,sh601088,中国神华,买入,49.0,250.0,7.0,0.07779883381924191,,,
2026-06-05T00:00:00.000000,sh601919,中远海控,买入,15.0,250.0,7.0,0.07285714285714284,,,
2026-06-08T00:00:00.000000,sz000333,美的集团,卖出,82.85,200.0,6.0,,80.67,0.027023676707573975,持有25天到期
2026-06-12T00:00:00.000000,sh601088,中国神华,卖出,46.14,250.0,7.0,,49.0,-0.058367346938775495,普通止盈(-5.8%)
2026-06-12T00:00:00.000000,sh600900,长江电力,买入,28.28,250.0,7.0,0.046221458880581864,,,
