date,code,name,action,price,shares,strength,atr_stop,buy_price,return,reason
2026-04-14T00:00:00.000000,sz002415,海康威视,买入,32.73,200.0,6.0,0.08,,,
2026-04-16T00:00:00.000000,sz300750,宁德时代,买入,447.074,180.0,8.0,0.08,,,
2026-04-30T00:00:00.000000,sz002475,立讯精密,卖出,67.0,200.0,,,58.18,0.1515984874527329,移动止盈(15.2%)
2026-04-30T00:00:00.000000,sh600900,长江电力,买入,27.32,200.0,7.5,0.08,,,
2026-05-08T00:00:00.000000,sz002050,三花智控,买入,51.69,153.0,6.0,0.08,,,
2026-05-12T00:00:00.000000,sz300750,宁德时代,卖出,431.25,180.0,,,447.074,-0.03539458792056799,移动止盈(-3.5%)
2026-05-13T00:00:00.000000,sz002415,海康威视,卖出,33.74,200.0,,,32.73,0.030858539566147425,移动止盈(3.1%)
2026-05-15T00:00:00.000000,sz000333,美的集团,买入,82.57,200.0,7.0,0.08,,,
2026-05-21T00:00:00.000000,sh600900,长江电力,卖出,26.66,200.0,,,27.32,-0.02415812591508053,跌破MA60
2026-05-21T00:00:00.000000,sz000725,京东方A,买入,4.69,200.0,7.0,0.08,,,
2026-05-27T00:00:00.000000,sz002050,三花智控,卖出,51.02,153.0,,,51.69,-0.01296188817953172,移动止盈(-1.3%)
2026-05-29T00:00:00.000000,sz000725,京东方A,卖出,5.11,200.0,,,4.69,0.08955223880597013,移动止盈(9.0%)
2026-06-12T00:00:00.000000,sh600900,长江电力,买入,28.28,200.0,7.0,0.08,,,
2026-06-12T00:00:00.000000,sh601398,工商银行,买入,7.78,200.0,7.0,0.08,,,
