date,capital,portfolio_value,positions
2025-08-26T00:00:00.000000,70117.83804,99991.03804,3
2025-08-27T00:00:00.000000,70117.83804,99189.03804,3
2025-08-28T00:00:00.000000,70111.27884000001,98946.47884000001,3
2025-08-29T00:00:00.000000,70111.27884000001,99930.47884000001,3
2025-09-01T00:00:00.000000,70111.27884000001,99291.47884000001,3
2025-09-02T00:00:00.000000,70111.27884000001,99307.47884000001,3
2025-09-03T00:00:00.000000,75577.18745000001,98739.68745000001,3
2025-09-04T00:00:00.000000,75577.18745000001,98499.68745000001,3
2025-09-05T00:00:00.000000,75577.18745000001,98756.68745000001,3
2025-09-08T00:00:00.000000,75577.18745000001,99159.68745000001,3
2025-09-09T00:00:00.000000,75577.18745000001,99053.68745000001,3
2025-09-10T00:00:00.000000,75577.18745000001,98948.68745000001,3
2025-09-11T00:00:00.000000,75577.18745000001,99381.68745000001,3
2025-09-12T00:00:00.000000,74056.43355000002,99152.93355000002,3
2025-09-15T00:00:00.000000,74056.43355000002,99175.93355000002,3
2025-09-16T00:00:00.000000,74056.43355000002,99108.93355000002,3
2025-09-17T00:00:00.000000,74056.43355000002,98969.93355000002,3
2025-09-18T00:00:00.000000,74056.43355000002,98676.93355000002,3
2025-09-19T00:00:00.000000,74056.43355000002,98882.93355000002,3
2025-09-22T00:00:00.000000,86045.03589000001,98546.33589000002,2
2025-09-23T00:00:00.000000,86045.03589000001,98209.33589000002,2
2025-09-24T00:00:00.000000,86045.03589000001,98308.33589000002,2
2025-09-25T00:00:00.000000,86045.03589000001,98185.33589000002,2
2025-09-26T00:00:00.000000,86045.03589000001,98153.33589000002,2
2025-09-29T00:00:00.000000,86045.03589000001,98256.33589000002,2
2025-09-30T00:00:00.000000,86045.03589000001,98343.33589000002,2
2025-10-09T00:00:00.000000,74981.71789000001,98134.01789000002,3
2025-10-10T00:00:00.000000,85757.48419000002,97780.78419000002,2
2025-10-13T00:00:00.000000,85757.48419000002,97715.78419000002,2
2025-10-14T00:00:00.000000,86966.30589000002,97812.00589000001,2
2025-10-15T00:00:00.000000,91013.79128000002,97937.79128000002,1
2025-10-16T00:00:00.000000,88217.95278000002,97983.95278000002,2
2025-10-17T00:00:00.000000,82758.31538000001,97983.31538000001,3
2025-10-20T00:00:00.000000,82758.31538000001,98069.31538000001,3
2025-10-21T00:00:00.000000,85527.48438000001,98111.48438000001,2
2025-10-22T00:00:00.000000,85527.48438000001,98020.48438000001,2
2025-10-23T00:00:00.000000,89707.54828000002,98114.54828000002,2
2025-10-24T00:00:00.000000,89707.54828000002,98118.54828000002,2
2025-10-27T00:00:00.000000,89707.54828000002,98116.54828000002,2
2025-10-28T00:00:00.000000,89707.54828000002,98133.54828000002,2
2025-10-29T00:00:00.000000,89707.54828000002,98235.54828000002,2
2025-10-30T00:00:00.000000,89707.54828000002,98223.54828000002,2
2025-10-31T00:00:00.000000,82123.27368000001,98102.27368000001,3
2025-11-03T00:00:00.000000,82123.27368000001,98231.27368000001,3
2025-11-04T00:00:00.000000,82123.27368000001,98201.27368000001,3
2025-11-05T00:00:00.000000,82123.27368000001,98336.27368000001,3
2025-11-06T00:00:00.000000,82123.27368000001,98176.27368000001,3
2025-11-07T00:00:00.000000,82123.27368000001,98542.27368000001,3
2025-11-10T00:00:00.000000,82123.27368000001,99374.27368000001,3
2025-11-11T00:00:00.000000,82123.27368000001,99737.27368000001,3
2025-11-12T00:00:00.000000,82123.27368000001,99687.27368000001,3
2025-11-13T00:00:00.000000,82123.27368000001,99886.27368000001,3
2025-11-14T00:00:00.000000,82123.27368000001,99629.27368000001,3
2025-11-17T00:00:00.000000,82123.27368000001,99481.27368000001,3
2025-11-18T00:00:00.000000,82123.27368000001,99183.27368000001,3
2025-11-19T00:00:00.000000,82123.27368000001,99002.27368000001,3
2025-11-20T00:00:00.000000,82123.27368000001,98909.27368000001,3
2025-11-21T00:00:00.000000,82123.27368000001,98514.27368000001,3
2025-11-24T00:00:00.000000,82123.27368000001,98414.27368000001,3
2025-11-25T00:00:00.000000,82123.27368000001,98621.27368000001,3
2025-11-26T00:00:00.000000,76913.04778000001,98705.04778000001,3
2025-11-27T00:00:00.000000,82670.32008,98475.32008,2
2025-11-28T00:00:00.000000,82670.32008,98534.32008,2
2025-12-01T00:00:00.000000,82670.32008,99091.32008,2
2025-12-02T00:00:00.000000,82670.32008,99143.32008,2
2025-12-03T00:00:00.000000,82670.32008,99045.32008,2
2025-12-04T00:00:00.000000,82670.32008,98956.32008,2
2025-12-05T00:00:00.000000,82670.32008,98970.32008,2
2025-12-08T00:00:00.000000,82670.32008,99037.32008,2
2025-12-09T00:00:00.000000,76598.49908000001,98687.49908000001,3
2025-12-10T00:00:00.000000,76598.49908000001,98943.49908000001,3
2025-12-11T00:00:00.000000,84519.12218,98527.12218,2
2025-12-12T00:00:00.000000,84519.12218,98667.12218,2
2025-12-15T00:00:00.000000,84519.12218,99093.12218,2
2025-12-16T00:00:00.000000,84519.12218,99040.12218,2
2025-12-17T00:00:00.000000,84519.12218,99196.12218,2
2025-12-18T00:00:00.000000,84519.12218,99177.12218,2
2025-12-19T00:00:00.000000,84519.12218,99164.12218,2
2025-12-22T00:00:00.000000,84519.12218,99114.12218,2
2025-12-23T00:00:00.000000,84519.12218,99258.12218,2
2025-12-24T00:00:00.000000,84519.12218,99127.12218,2
2025-12-25T00:00:00.000000,84519.12218,99283.12218,2
2025-12-26T00:00:00.000000,75286.35318,99344.35318,3
2025-12-29T00:00:00.000000,75286.35318,99088.35318,3
2025-12-30T00:00:00.000000,75286.35318,98897.35318,3
2025-12-31T00:00:00.000000,75286.35318,99222.35318,3
2026-01-05T00:00:00.000000,75286.35318,99244.35318,3
2026-01-06T00:00:00.000000,83167.98798,99483.98798,2
2026-01-07T00:00:00.000000,78128.67664,99677.47664000001,3
2026-01-08T00:00:00.000000,78128.67664,99260.47664000001,3
2026-01-09T00:00:00.000000,78128.67664,99365.47664000001,3
2026-01-12T00:00:00.000000,76653.09930000002,99138.09930000002,3
2026-01-13T00:00:00.000000,76653.09930000002,98921.09930000002,3
2026-01-14T00:00:00.000000,76653.09930000002,98524.09930000002,3
2026-01-15T00:00:00.000000,76653.09930000002,98477.09930000002,3
2026-01-16T00:00:00.000000,82825.24710000002,98126.24710000002,2
2026-01-19T00:00:00.000000,82825.24710000002,98620.24710000002,2
2026-01-20T00:00:00.000000,89308.30160000002,98917.30160000002,1
2026-01-21T00:00:00.000000,89308.30160000002,98817.30160000002,1
2026-01-22T00:00:00.000000,89308.30160000002,98669.30160000002,1
2026-01-23T00:00:00.000000,89308.30160000002,98640.30160000002,1
2026-01-26T00:00:00.000000,89308.30160000002,98574.30160000002,1
2026-01-27T00:00:00.000000,89308.30160000002,98388.30160000002,1
2026-01-28T00:00:00.000000,89308.30160000002,98292.30160000002,1
2026-01-29T00:00:00.000000,78227.97850000003,98534.97850000003,2
2026-01-30T00:00:00.000000,88724.82850000003,97661.82850000003,1
2026-02-02T00:00:00.000000,88724.82850000003,97619.82850000003,1
2026-02-03T00:00:00.000000,88724.82850000003,97884.82850000003,1
2026-02-04T00:00:00.000000,88724.82850000003,97873.82850000003,1
2026-02-05T00:00:00.000000,97969.05440000004,97969.05440000004,0
2026-02-06T00:00:00.000000,97969.05440000004,97969.05440000004,0
2026-02-09T00:00:00.000000,94019.87000000004,97967.87000000004,1
2026-02-10T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-11T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-12T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-13T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-24T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-25T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-26T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-02-27T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-03-02T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-03-03T00:00:00.000000,97952.68980000004,97952.68980000004,0
2026-03-04T00:00:00.000000,95242.87710000004,97951.87710000004,1
2026-03-05T00:00:00.000000,85793.04300000003,97948.04300000003,2
2026-03-06T00:00:00.000000,90258.96686000003,97864.76686000003,2
2026-03-09T00:00:00.000000,80504.04126000003,97874.84126000003,3
2026-03-10T00:00:00.000000,80504.04126000003,97669.84126000003,3
2026-03-11T00:00:00.000000,80504.04126000003,98044.84126000003,3
2026-03-12T00:00:00.000000,80504.04126000003,98180.84126000003,3
2026-03-13T00:00:00.000000,80504.04126000003,98149.84126000003,3
2026-03-16T00:00:00.000000,80504.04126000003,98633.84126000003,3
2026-03-17T00:00:00.000000,80504.04126000003,98521.84126000003,3
2026-03-18T00:00:00.000000,80504.04126000003,98328.84126000003,3
2026-03-19T00:00:00.000000,80504.04126000003,98298.84126000003,3
2026-03-20T00:00:00.000000,80504.04126000003,98427.84126000003,3
2026-03-23T00:00:00.000000,84980.49792000002,98417.49792000002,2
2026-03-24T00:00:00.000000,84980.49792000002,98354.49792000002,2
2026-03-25T00:00:00.000000,84980.49792000002,98361.49792000002,2
2026-03-26T00:00:00.000000,84980.49792000002,98025.49792000002,2
2026-03-27T00:00:00.000000,84980.49792000002,98235.49792000002,2
2026-03-30T00:00:00.000000,84980.49792000002,98299.49792000002,2
2026-03-31T00:00:00.000000,84980.49792000002,98209.49792000002,2
2026-04-01T00:00:00.000000,84980.49792000002,97933.49792000002,2
2026-04-02T00:00:00.000000,84980.49792000002,97846.49792000002,2
2026-04-03T00:00:00.000000,84980.49792000002,97551.49792000002,2
2026-04-07T00:00:00.000000,87627.70352000002,97425.70352000002,1
2026-04-08T00:00:00.000000,87627.70352000002,97749.70352000002,1
2026-04-09T00:00:00.000000,87627.70352000002,97530.70352000002,1
2026-04-10T00:00:00.000000,87627.70352000002,97794.70352000002,1
2026-04-13T00:00:00.000000,87627.70352000002,98052.70352000002,1
2026-04-14T00:00:00.000000,87627.70352000002,98009.70352000002,1
2026-04-15T00:00:00.000000,87627.70352000002,97930.70352000002,1
2026-04-16T00:00:00.000000,87627.70352000002,98181.70352000002,1
2026-04-17T00:00:00.000000,87627.70352000002,98005.70352000002,1
2026-04-20T00:00:00.000000,87627.70352000002,97918.70352000002,1
2026-04-21T00:00:00.000000,97777.65762000003,97777.65762000003,0
2026-04-22T00:00:00.000000,97777.65762000003,97777.65762000003,0
2026-04-23T00:00:00.000000,97777.65762000003,97777.65762000003,0
2026-04-24T00:00:00.000000,89809.26782000002,97775.26782000002,1
2026-04-27T00:00:00.000000,89809.26782000002,97759.26782000002,1
2026-04-28T00:00:00.000000,89809.26782000002,97854.26782000002,1
2026-04-29T00:00:00.000000,89809.26782000002,97940.26782000002,1
2026-04-30T00:00:00.000000,89809.26782000002,97919.26782000002,1
2026-05-06T00:00:00.000000,89809.26782000002,97853.26782000002,1
2026-05-07T00:00:00.000000,89809.26782000002,97790.26782000002,1
2026-05-08T00:00:00.000000,89809.26782000002,97849.26782000002,1
2026-05-11T00:00:00.000000,83972.51732000003,97874.51732000003,2
2026-05-12T00:00:00.000000,89735.78782000003,97744.78782000003,1
2026-05-13T00:00:00.000000,89735.78782000003,97773.78782000003,1
2026-05-14T00:00:00.000000,89735.78782000003,97916.78782000003,1
2026-05-15T00:00:00.000000,89735.78782000003,97992.78782000003,1
2026-05-18T00:00:00.000000,89735.78782000003,98018.78782000003,1
2026-05-19T00:00:00.000000,89735.78782000003,97835.78782000003,1
2026-05-20T00:00:00.000000,89735.78782000003,97885.78782000003,1
2026-05-21T00:00:00.000000,89735.78782000003,97885.78782000003,1
2026-05-22T00:00:00.000000,89735.78782000003,97763.78782000003,1
2026-05-25T00:00:00.000000,89735.78782000003,97716.78782000003,1
2026-05-26T00:00:00.000000,89735.78782000003,97690.78782000003,1
2026-05-27T00:00:00.000000,89735.78782000003,97738.78782000003,1
2026-05-28T00:00:00.000000,89735.78782000003,97630.78782000003,1
2026-05-29T00:00:00.000000,79973.86012000003,97817.86012000003,3
2026-06-01T00:00:00.000000,86881.12062000003,97828.12062000003,2
2026-06-02T00:00:00.000000,86881.12062000003,97937.12062000003,2
